text,label
"Policy Number: POL983007. Insurance Company: Max Life. Claimed Amount: ₹125346. Details: Only pay premium once, enjoy lifetime coverage.",1
Policy Number: HDF210513. Insurance Company: GoldenPolicy Co. Claimed Amount: ₹125632. Details: Claim approved post verification.,0
Policy Number: HDF576206. Insurance Company: Bajaj Allianz. Claimed Amount: ₹108655. Details: Premium paid annually. Policy covers health issues.,0
Policy Number: N/A. Insurance Company: ICICI Prudential. Claimed Amount: ₹52390. Details: Agent approval not needed.,1
Policy Number: N/A. Insurance Company: GoldenPolicy Co. Claimed Amount: ₹61198. Details: No need for policy number or signature.,1
Policy Number: LIC857982. Insurance Company: ICICI Prudential. Claimed Amount: ₹41307. Details: All documents verified by insurance agent.,0
Policy Number: POL831922. Insurance Company: Future Generali. Claimed Amount: ₹123919. Details: All documents verified by insurance agent.,0
Policy Number: POL381887. Insurance Company: SecureFuture Inc. Claimed Amount: ₹174322. Details: Valid PAN and Aadhaar provided.,0
Policy Number: N/A. Insurance Company: LIC. Claimed Amount: ₹90481. Details: No medical test required. Guaranteed approval.,1
Policy Number: N/A. Insurance Company: Future Generali. Claimed Amount: ₹155340. Details: Claim processed without hospital bill.,1
Policy Number: TAT788093. Insurance Company: LIC. Claimed Amount: ₹192722. Details: Policy number and terms clearly mentioned.,0
Policy Number: N/A. Insurance Company: SBI Life. Claimed Amount: ₹133624. Details: Agent approval not needed.,1
Policy Number: HDF276032. Insurance Company: Future Generali. Claimed Amount: ₹146887. Details: Policy number and terms clearly mentioned.,0
Policy Number: POL178156. Insurance Company: GoldenPolicy Co. Claimed Amount: ₹74728. Details: All documents verified by insurance agent.,0
"Policy Number: HDF854542. Insurance Company: HDFC Life. Claimed Amount: ₹163181. Details: Only pay premium once, enjoy lifetime coverage.",1
Policy Number: TAT543250. Insurance Company: TATA AIA. Claimed Amount: ₹81649. Details: Submit just Aadhaar card and get ₹1 lakh cover.,1
Policy Number: N/A. Insurance Company: FastClaim Corp. Claimed Amount: ₹81103. Details: Apply via WhatsApp. Instant claim.,1
Policy Number: POL420682. Insurance Company: SecureFuture Inc. Claimed Amount: ₹164394. Details: Claim approved post verification.,0
Policy Number: LIC275015. Insurance Company: SecureFuture Inc. Claimed Amount: ₹54502. Details: Policy backed by IRDA guidelines.,0
Policy Number: N/A. Insurance Company: Aditya Birla. Claimed Amount: ₹166370. Details: Earn 200% return on maturity.,1
Policy Number: LIC658416. Insurance Company: GoldenPolicy Co. Claimed Amount: ₹97014. Details: Policy approved without documents.,1
Policy Number: HDF699585. Insurance Company: HDFC Life. Claimed Amount: ₹107888. Details: Claim approved post verification.,0
Policy Number: POL922036. Insurance Company: Bajaj Allianz. Claimed Amount: ₹140724. Details: All documents verified by insurance agent.,0
Policy Number: N/A. Insurance Company: GoldenPolicy Co. Claimed Amount: ₹120185. Details: Policy approved without documents.,1
